TIPO	PADRE	DESCRIPCION	VALOR
CLAVE		Moderna	143
LITERAL	Moderna	Moderna	3
CLAVE		Movistar	144
LITERAL	Movistar	Moviestar	1
LITERAL	Movistar	Movistar	4
LITERAL	Movistar	telefonica	1
CLAVE		Nestl?	145
LITERAL	Nestl?	-nescafe	3
LITERAL	Nestl?	Nescafe	2
LITERAL	Nestl?	Nescafe Dolce Gusto	1
LITERAL	Nestl?	-nespresso	1
LITERAL	Nestl?	Nespresso	6
LITERAL	Nestl?	-nestle	1
LITERAL	Nestl?	Nestle	1
LITERAL	Nestl?	Nestl?	5
LITERAL	Nestl?	-netsle	1
CLAVE		Netflix	146
LITERAL	Netflix	- Netflix	1
LITERAL	Netflix	Netflix	11
CLAVE		Nike	147
LITERAL	Nike	-nike	5
LITERAL	Nike	Nike	29
CLAVE		Ninguna	148
LITERAL	Ninguna	-.	3
LITERAL	Ninguna	-...	1
LITERAL	Ninguna	-....	1
LITERAL	Ninguna	-....l	1
LITERAL	Ninguna	-1	1
LITERAL	Ninguna	-2	1
LITERAL	Ninguna	-3	1
LITERAL	Ninguna	-5	3
LITERAL	Ninguna	-7	1
LITERAL	Ninguna	-8	1
LITERAL	Ninguna	-a	1
LITERAL	Ninguna	-b	1
LITERAL	Ninguna	-c	1
LITERAL	Ninguna	-kk	3
LITERAL	Ninguna	-m	3
LITERAL	Ninguna	-me da igual	3
LITERAL	Ninguna	Nada me viene	1
LITERAL	Ninguna	Ni idea	0
LITERAL	Ninguna	Nine	0
LITERAL	Ninguna	-ninguna	14
LITERAL	Ninguna	Ninguna	29
LITERAL	Ninguna	no	3
LITERAL	Ninguna	-no Lo de	1
LITERAL	Ninguna	-no Lo se	2
LITERAL	Ninguna	No lo se-	1
LITERAL	Ninguna	No lo se	2
LITERAL	Ninguna	-no recuerdo ninguna mas	1
LITERAL	Ninguna	-no se	6
LITERAL	Ninguna	-no s?	1
LITERAL	Ninguna	no se	11
LITERAL	Ninguna	No s?	1
LITERAL	Ninguna	-no se me ocurre nada	1
LITERAL	Ninguna	se me	1
LITERAL	Ninguna	-x	3
CLAVE		Pascual	149
LITERAL	Pascual	Pascual	6
LITERAL	Pascual	Leche pascual	1
CLAVE		Pepsi	150
LITERAL	Pepsi	Pepsi	3
LITERAL	Pepsi	-Pepsi	1
CLAVE		pfizer	151
LITERAL	pfizer	Anian	2
LITERAL	pfizer	Fizer	1
LITERAL	pfizer	pfizer	4
LITERAL	pfizer	Pzifer	1
LITERAL	pfizer	Pzzer	0
LITERAL	pfizer	-Pfizer	1
LITERAL	pfizer	Pfitzer	1
LITERAL	pfizer	Pfizzer	1
CLAVE		Real Madrid	152
LITERAL	Real Madrid	Real Madrid	3
CLAVE		Repsol	153
LITERAL	Repsol	Repsol	5
LITERAL	Repsol	Respol	1
CLAVE		San Miguel	154
LITERAL	San Miguel	San Miguel	3
LITERAL	San Miguel	-san miguel	3
CLAVE		Sanytol	155
LITERAL	Sanytol	Sanitol	20
LITERAL	Sanytol	-Sanytol	1
LITERAL	Sanytol	Sanytol	7
CLAVE		Shein	156
LITERAL	Shein	Shein	6
CLAVE		Tik tok	157
LITERAL	Tik tok	Tik tok	2
LITERAL	Tik tok	Tiktok	1
CLAVE		Twitch	158
LITERAL	Twitch	Twitch	3
CLAVE		Uber	159
LITERAL	Uber	-uber	2
LITERAL	Uber	UBER	3
LITERAL	Uber	Uber eats	2
LITERAL	Uber	Ubereats	0
